Episode,Epsilon,Total Reward,Loss,Steps,Collisions,Exit Reason
231,0.3141460853680822,-1174.0,18123.901311603593,109,5,Collision tolerance exceeded
232,0.3125753549412418,-4364.0,10551.919149424542,62,5,Collision tolerance exceeded
233,0.31101247816653554,-706.0,7368.086680637316,46,5,Collision tolerance exceeded
234,0.30945741577570285,-720.0,5715.095635029978,34,5,Collision tolerance exceeded
235,0.3079101286968243,-1328.0,11459.638767453636,70,5,Collision tolerance exceeded
236,0.3063705780533402,-176.0,7297.236027445874,44,5,Collision tolerance exceeded
237,0.30483872516307353,-716.0,6608.806972627398,39,5,Collision tolerance exceeded
238,0.3033145315372582,-1948.0,10653.815837626016,62,5,Collision tolerance exceeded
239,0.3017979588795719,20.0,5847.720556869646,40,5,Collision tolerance exceeded
240,0.30028896908517405,-1670.0,8797.707028859502,51,5,Collision tolerance exceeded
241,0.2987875242397482,-328.0,21670.94946866088,130,5,Collision tolerance exceeded
242,0.29729358661854943,-362.0,23334.884207401108,133,5,Collision tolerance exceeded
243,0.29580711868545667,-708.0,7778.202790036516,50,5,Collision tolerance exceeded
244,0.2943280830920294,-44.0,26034.033855073976,150,3,Max steps reached
245,0.29285644267656924,-1488.0,9362.372769921458,54,5,Collision tolerance exceeded
246,0.2913921604631864,-784.0,21216.088717759518,130,5,Collision tolerance exceeded
247,0.28993519966087045,-1592.0,23703.205965981506,150,3,Max steps reached
248,0.2884855236625661,158.0,6541.723554719469,39,5,Collision tolerance exceeded
249,0.28704309604425327,-238.0,21088.604466760786,133,5,Collision tolerance exceeded
250,0.285607880564032,-108.0,4973.208807010485,32,5,Collision tolerance exceeded
251,0.28417984116121187,-644.0,4534.934477866791,30,5,Collision tolerance exceeded
252,0.2827589419554058,-10.0,10653.099629261627,64,5,Collision tolerance exceeded
253,0.28134514724562876,54.0,8685.2947744738,57,5,Collision tolerance exceeded
254,0.2799384215094006,-1424.0,23325.180617268412,150,0,Max steps reached
255,0.27853872940185365,-7416.0,24655.604116043683,150,3,Max steps reached
256,0.27714603575484437,-370.0,14927.08345546534,96,5,Collision tolerance exceeded
257,0.2757603055760701,-182.0,14068.896990233929,101,5,Collision tolerance exceeded
258,0.2743815040481898,-692.0,15500.229548266927,112,5,Collision tolerance exceeded
259,0.2730095965279488,-158.0,9976.157815481958,74,5,Collision tolerance exceeded
260,0.27164454854530906,-2292.0,9140.510276482672,66,5,Collision tolerance exceeded
261,0.2702863258025825,-42.0,9655.377066935327,67,5,Collision tolerance exceeded
262,0.2689348941735696,-112.0,3433.556165172791,27,5,Collision tolerance exceeded
263,0.26759021970270175,-2362.0,8666.082749531706,59,5,Collision tolerance exceeded
264,0.2662522686041882,-780.0,19236.474017458575,130,5,Collision tolerance exceeded
265,0.2649210072611673,-338.0,6941.910851659906,45,5,Collision tolerance exceeded
266,0.26359640222486147,-588.0,21418.363276439726,150,4,Max steps reached
267,0.26227842021373715,120.0,5293.827995171947,38,5,Collision tolerance exceeded
268,0.2609670281126685,22.0,5820.380623718972,43,5,Collision tolerance exceeded
269,0.25966219297210513,-1004.0,12540.913532305825,93,5,Collision tolerance exceeded
270,0.2583638820072446,-266.0,6504.047191660311,47,5,Collision tolerance exceeded
271,0.2570720625972084,-646.0,2706.5220684405867,21,5,Collision tolerance exceeded
